Date,Code,Name,Cell,Base_Price,1D_Return,3D_Return,5D_Return,Settled_Count,Type1,Type2,Type3,Break_MA5,Break_MA20,Break_MA60
2026-05-29,004020,현대제철,R1C1,40150.0,0.0,0.0,-2.62,3,,,,,,
2026-05-29,000100,유한양행,R1C3,85000.0,0.0,0.0,-1.88,3,,,,,,
2026-05-29,486990,노타,R3C4,38500.0,0.0,0.0,-1.69,3,,,,,,
2026-05-29,003670,포스코퓨처엠,R2C2,245500.0,0.0,0.0,-5.91,3,,,,,,
2026-05-29,033780,KT&G,R1C2,184700.0,0.0,0.0,0.22,3,,,,,,
2026-05-29,336370,솔루스첨단소재,R4C3,11690.0,0.0,0.0,2.31,3,,,,,,
2026-05-29,038500,삼표시멘트,R1C1,12360.0,0.0,0.0,-2.99,3,,,,,,
2026-05-29,030200,KT,R1C1,52800.0,0.0,0.0,0.76,3,,,,,,
2026-05-29,181710,NHN,R4C4,50900.0,0.0,0.0,17.09,3,,,,,,
2026-05-29,032500,케이엠더블유,R3C2,33350.0,0.0,0.0,-1.95,3,,,,,,
2026-05-29,090360,로보스타,R4C3,94000.0,0.0,0.0,30.0,3,,,,,,
2026-05-29,131970,두산테스나,R1C2,157300.0,0.0,0.0,-0.25,3,,,,,,
2026-05-29,030000,제일기획,R1C2,18460.0,0.0,0.0,0.38,3,,,,,,
2026-05-29,456010,아이씨티케이,R3C2,33650.0,0.0,0.0,-9.51,3,,,,,,
2026-05-29,377300,카카오페이,R2C1,46550.0,0.0,0.0,1.83,3,,,,,,
2026-05-29,108490,로보티즈,R3C2,325500.0,0.0,0.0,23.66,3,,,,,,
2026-05-29,242040,나무기술,R4C3,8780.0,0.0,0.0,-24.72,3,,,,,,
2026-05-29,041190,우리기술투자,R2C1,6110.0,0.0,0.0,-0.65,3,,,,,,
2026-05-29,011210,현대위아,R1C1,91000.0,0.0,0.0,-1.1,3,,,,,,
